TotalIGS,Dribbling,WeakFoot,BeastRating,Nation,AttackerRating,StrongFoot,CreatorRating,SkillMoves,League,Name,TotalStats,Age,Pace,Workrates,Position,Passing,Rating,HeadingRating,Height,DefenderRating,Club,Defending,Shooting,Physical
2028,90,2,82,Netherlands,86,Left,78,4,Bundesliga,ROBBEN,436,32,86,High / Low,RM,81,87,64,"180cm | 5'10""",39,FC Bayern München,32,85,62
1880,65,3,83,Belgium,56,Right,63,2,Premier League,KOMPANY,417,30,69,Medium / Medium,CB,62,86,83,"192cm | 6'3""",85,Manchester City,86,54,81
1953,87,2,72,Spain,76,Left,85,4,Premier League,SILVA,404,30,68,High / Low,CAM,87,87,63,"170cm | 5'6""",38,Manchester City,32,72,58
2061,85,3,81,Colombia,85,Left,84,4,LaLiga Santander,RODRÍGUEZ,439,25,76,Medium / Medium,CAM,85,87,65,"180cm | 5'10""",45,Real Madrid CF,40,85,68
1962,64,3,82,Belgium,63,Right,73,2,Premier League,ALDERWEIRELD,423,27,66,Medium / Medium,"CB,CB",70,"85,86",83,"186cm | 6'1""",84,Tottenham Hotspur,86,58,79
1990,71,3,80,Germany,60,Right,76,2,Bundesliga,HUMMELS,432,27,64,High / Medium,"CB,CB",74,"87,87",83,"191cm | 6'3""",87,FC Bayern München,88,58,77
1936,90,4,79,France,79,Right,81,5,Bundesliga,RIBÉRY,415,33,82,High / Medium,LM,83,86,53,"170cm | 5'6""",34,FC Bayern München,25,76,59
1990,86,2,76,Argentina,76,Left,82,4,LaLiga Santander,GAITÁN,422,28,82,Medium / Medium,"LM,LM",83,"85,85",65,"173cm | 5'8""",44,Atlético Madrid,39,74,58
2138,76,2,83,France,70,Left,79,2,Ligue 1,MATUIDI,467,29,79,High / High,CDM,78,86,77,"175cm | 5'8""",84,Paris Saint-Germain,83,67,84
2076,82,3,75,Croatia,83,Right,87,3,LaLiga Santander,RAKITIĆ,443,28,66,Medium / Medium,CM,86,87,61,"184cm | 6'0""",62,FC Barcelona,59,84,66
1920,82,4,84,France,83,Right,71,4,LaLiga Santander,BENZEMA,420,28,81,Medium / Low,ST,77,87,78,"187cm | 6'1""",28,Real Madrid CF,22,84,74
1908,77,4,87,Spain,81,Right,60,3,Premier League,COSTA,425,27,75,High / Medium,"ST,ST",63,"85,86",76,"188cm | 6'2""",45,Chelsea,40,82,88
2023,79,3,82,Uruguay,82,Right,66,3,Ligue 1,CAVANI,431,29,76,High / Medium,"ST,ST",71,"85,86",86,"184cm | 6'0""",44,Paris Saint-Germain,42,83,80
2100,87,2,82,Argentina,82,Left,84,5,Ligue 1,DI MARÍA,454,28,87,High / Medium,RW,84,87,68,"180cm | 5'10""",52,Paris Saint-Germain,47,79,70
2087,77,3,82,Brazil,67,Left,77,3,LaLiga Santander,LUÍS,457,31,80,High / Medium,"LB,LB",77,"85,86",70,"182cm | 5'11""",82,Atlético Madrid,82,62,79
1977,69,3,78,Argentina,58,Right,73,2,LaLiga Santander,MASCHERANO,424,32,66,Medium / High,CB,71,85,72,"174cm | 5'8""",85,FC Barcelona,85,53,80
2030,84,3,86,France,82,Right,73,4,Ligue 1,LACAZETTE,437,25,86,High / High,ST,75,85,76,"175cm | 5'8""",40,Olympique Lyonnais,34,82,76
1861,53,3,82,Argentina,56,Right,59,2,Premier League,OTAMENDI,404,28,72,Medium / Medium,CB,56,85,86,"183cm | 6'0""",84,Manchester City,85,56,82
1991,90,3,83,Argentina,86,Left,71,4,Calcio A,DYBALA,429,22,88,Medium / Medium,ST,76,85,71,"176cm | 5'9""",30,Juventus,23,86,66
1925,74,4,78,Portugal,64,Right,78,3,Liga NOS,CARVALHO,428,24,54,Medium / High,CDM,74,84,76,"187cm | 6'1""",81,Sporting CP,82,59,85
2080,87,4,72,Italy,66,Right,85,4,Ligue 1,VERRATTI,442,23,68,High / High,"CM,CM",83,"85,86",61,"165cm | 5'4""",77,Paris Saint-Germain,78,58,68
2058,83,4,84,Portugal,76,Right,81,3,LaLiga Santander,GOMES,455,23,69,Medium / Medium,CM,80,84,71,"188cm | 6'2""",73,FC Barcelona,71,71,81
1954,86,5,81,Germany,82,Right,79,4,Bundesliga,DRAXLER,420,23,77,Medium / Low,CAM,80,84,76,"187cm | 6'1""",39,VfL Wolfsburg,34,79,64
2051,86,4,79,Argentina,79,Right,84,4,Ligue 1,PASTORE,447,27,74,High / Medium,CM,84,85,66,"187cm | 6'1""",60,Paris Saint-Germain,58,77,68
1867,61,2,81,France,55,Left,68,2,LaLiga Santander,LAPORTE,406,22,65,Medium / Medium,CB,66,84,83,"189cm | 6'2""",85,Athletic Club de Bilbao,86,50,78
1931,76,3,83,Spain,82,Right,62,3,LaLiga Santander,ADURIZ,418,35,70,High / Medium,ST,64,84,89,"182cm | 5'11""",49,Athletic Club de Bilbao,46,83,79
1897,64,3,78,Argentina,59,Right,69,2,LaLiga Santander,GARAY,409,29,52,Medium / Medium,CB,68,84,81,"188cm | 6'2""",85,Valencia CF,87,57,81
1880,81,2,86,England,83,Left,68,3,Premier League,STURRIDGE,417,27,89,Medium / Low,ST,69,84,78,"188cm | 6'2""",30,Liverpool,25,83,70
1991,84,5,77,Brazil,84,Right,76,3,Liga NOS,JONAS,419,32,72,High / Medium,"ST,ST",78,"84,87",77,"181cm | 5'11""",38,SL Benfica,35,85,65
1941,85,3,70,Spain,77,Left,82,3,Premier League,MATA,398,28,68,Medium / Medium,CAM,84,84,68,"170cm | 5'6""",35,Manchester United,32,75,54
1829,65,3,79,Germany,51,Right,65,2,Bundesliga,HÖWEDES,402,28,65,Medium / Medium,CB,63,84,84,"187cm | 6'1""",83,FC Schalke 04,84,47,78
2102,81,3,79,Wales,79,Right,81,3,Premier League,RAMSEY,451,25,69,High / High,CM,80,84,66,"177cm | 5'9""",70,Arsenal,68,77,76
1967,84,5,75,Denmark,79,Right,83,4,Premier League,ERIKSEN,423,24,76,High / Medium,CAM,84,84,62,"177cm | 5'9""",45,Tottenham Hotspur,44,76,59
2139,77,4,88,Ivory Coast,82,Right,81,3,Premier League,TOURÉ,468,33,74,Medium / Low,CM,81,84,76,"189cm | 6'2""",72,Manchester City,69,83,84
2082,72,3,84,Serbia,71,Left,78,3,Premier League,MATIĆ,454,28,67,Medium / High,CDM,76,84,80,"194cm | 6'4""",82,Chelsea,81,70,88
1926,62,4,85,Brazil,69,Right,65,2,Bundesliga,NALDO,427,34,72,High / Medium,CB,64,84,78,"198cm | 6'5""",85,FC Schalke 04,86,69,74
1912,65,3,78,Spain,63,Right,73,2,Bundesliga,MARTINEZ,410,28,52,Medium / Medium,CB,70,84,82,"190cm | 6'2""",84,FC Bayern München,84,61,78
1828,60,3,87,Greece,55,Right,58,2,Bundesliga,SOKRATIS,412,28,78,Medium / Medium,CB,55,84,84,"186cm | 6'1""",84,Borussia Dortmund,85,51,83
2027,75,4,69,Spain,74,Right,88,2,Bundesliga,ALONSO,412,34,33,Low / Medium,CDM,87,84,67,"183cm | 6'0""",76,FC Bayern München,76,70,71
2117,86,4,79,Turkey,78,Right,83,4,LaLiga Santander,TURAN,449,29,72,High / High,CM,83,84,75,"177cm | 5'9""",63,FC Barcelona,61,74,73
1973,78,3,85,England,82,Right,69,3,Premier League,KANE,429,23,73,High / High,ST,71,84,80,"188cm | 6'2""",46,Tottenham Hotspur,42,84,81
2103,87,5,81,Armenia,81,Right,80,4,Premier League,MKHITARYAN,453,27,83,High / High,RM,81,85,67,"177cm | 5'9""",59,Manchester United,55,77,70
1873,81,2,85,Colombia,80,Right,61,3,Calcio A,BACCA,409,30,85,Medium / Low,ST,64,84,77,"181cm | 5'11""",31,Milan,24,81,74
1960,72,4,76,Switzerland,74,Left,83,3,Premier League,XHAKA,419,23,51,Medium / Medium,CM,81,84,60,"185cm | 6'0""",74,Arsenal,72,66,77
1893,74,4,91,Belgium,81,Left,64,3,Premier League,LUKAKU,422,23,82,Medium / Medium,ST,66,84,81,"190cm | 6'2""",39,Everton,34,82,84
2048,82,4,81,Spain,79,Right,86,3,LaLiga Santander,KOKE,442,24,71,High / High,CM,85,84,67,"178cm | 5'10""",59,Atlético Madrid,55,75,74
1873,89,4,76,Germany,74,Right,74,4,Bundesliga,GÖTZE,399,24,70,Medium / Medium,CAM,78,84,62,"176cm | 5'9""",39,Borussia Dortmund,31,70,61
2106,87,4,81,Germany,76,Right,84,4,Premier League,GÜNDOĞAN,453,25,75,High / Medium,CM,84,85,63,"180cm | 5'10""",68,Manchester City,63,72,72
2239,83,4,83,Austria,77,Left,81,3,Bundesliga,ALABA,479,24,86,High / Medium,LB,81,87,79,"180cm | 5'10""",82,FC Bayern München,83,73,73
2152,82,3,81,Brazil,73,Right,76,3,Calcio A,ALVES,462,33,87,High / Low,RB,76,85,73,"172cm | 5'7""",78,Juventus,78,70,69
1899,88,4,78,Algeria,79,Left,79,5,Premier League,MAHREZ,415,25,82,Medium / Medium,RM,80,85,61,"179cm | 5'10""",35,Leicester City,30,77,58
2094,82,4,80,Slovakia,79,Right,83,3,Calcio A,HAMŠIK,452,29,76,High / Medium,CM,83,85,76,"183cm | 6'0""",65,Napoli,64,78,69
1817,65,3,80,France,45,Right,65,2,Premier League,KOSCIELNY,408,31,78,Medium / High,CB,62,85,85,"186cm | 6'1""",83,Arsenal,85,40,78
1983,86,4,81,Brazil,78,Right,79,4,Premier League,WILLIAN,442,28,89,High / High,RM,80,85,50,"175cm | 5'8""",56,Chelsea,50,74,63
1921,87,4,78,Brazil,78,Right,81,4,Premier League,COUTINHO,414,24,82,High / Medium,CAM,82,85,59,"171cm | 5'7""",38,Liverpool,33,74,56
2123,84,4,78,Bosnia Herzegovina,78,Right,86,4,Calcio A,PJANIĆ,451,26,74,Medium / Medium,"CM,CM",86,"85,85",67,"180cm | 5'10""",66,Juventus,64,75,68
1889,82,4,86,Argentina,86,Right,66,3,Calcio A,HIGUAÍN,415,28,80,High / Medium,"ST,ST,ST",68,"88,89,89",79,"184cm | 6'0""",31,Juventus,24,87,74
2056,90,4,74,Spain,77,Right,88,4,LaLiga Santander,INIESTA,441,32,73,High / Medium,CM,87,88,59,"171cm | 5'7""",62,FC Barcelona,59,72,60
1805,59,3,81,Portugal,52,Right,58,2,LaLiga Santander,PEPE,404,33,70,Medium / High,CB,56,88,82,"188cm | 6'2""",87,Real Madrid CF,88,50,81
1837,58,2,85,Italy,49,Left,54,2,Calcio A,CHIELLINI,406,32,74,Low / High,CB,53,88,85,"187cm | 6'1""",89,Juventus,90,46,85
2029,91,4,82,Belgium,83,Right,81,4,Premier League,HAZARD,440,25,90,High / Medium,LM,82,88,63,"173cm | 5'8""",37,Chelsea,32,81,64
1883,63,3,78,Uruguay,52,Right,67,2,LaLiga Santander,GODÍN,408,30,65,Medium / High,CB,65,88,88,"185cm | 6'0""",86,Atlético Madrid,88,48,79
2105,84,3,72,Germany,64,Right,82,3,Bundesliga,LAHM,440,32,68,Medium / High,RB,82,88,68,"170cm | 5'6""",87,FC Bayern München,86,56,64
2092,86,4,83,Germany,85,Right,82,4,Bundesliga,REUS,448,27,90,Medium / Medium,LM,84,88,67,"180cm | 5'10""",47,Borussia Dortmund,40,85,63
2036,87,3,80,France,85,Left,77,4,LaLiga Santander,GRIEZMANN,433,25,86,High / Medium,ST,78,88,79,"176cm | 5'9""",33,Atlético Madrid,30,85,67
